version,operation,mean_ms,median_ms,std_dev_ms,samples,constraints
v0.1,derive_compliance_scalar,0.00,0.00,0.00,100,
v0.1,fq_to_challenge_scalar,0.00,0.00,0.00,100,
v0.1,metadata_hash,0.04,0.04,0.00,100,
v0.1,dleq_compute,0.20,0.20,0.01,100,
v0.1,dleq_verify,0.24,0.24,0.01,100,
v0.1,spend_dleq,0.24,0.23,0.01,100,
v0.1,output_dleqs,0.74,0.74,0.04,100,
v0.1,ecdh_shared_secret,0.04,0.04,0.00,100,
v0.1,encrypt_spend,0.38,0.35,0.16,100,
v0.1,encrypt_spend_flagged,0.33,0.30,0.14,100,
v0.1,encrypt_output,0.76,0.75,0.04,100,
v0.1,encrypt_output_flagged,0.70,0.70,0.03,100,
v0.1,decrypt_detection,0.09,0.09,0.00,100,
v0.1,decrypt_flagged_spend,0.15,0.15,0.01,100,
v0.1,decrypt_flagged_output,0.23,0.23,0.01,100,
v0.1,leaf_commit,0.04,0.04,0.00,100,
v0.1,indexed_leaf_commit,0.11,0.11,0.00,100,
v0.1,serialize_spend,0.01,0.01,0.00,100,
v0.1,deserialize_spend,0.01,0.01,0.00,100,
v0.1,serialize_output,0.02,0.02,0.00,100,
v0.1,deserialize_output,0.02,0.02,0.00,100,
