version,operation,batch_size,mean_ms,median_ms,std_dev_ms,samples,constraints
v0.1,decrypt_core,,0.09,0.08,0.01,50,
v0.1,decrypt_extension,,0.08,0.08,0.00,50,
v0.1,decrypt_full,,0.16,0.17,0.01,50,
v0.1,spend_decrypt_core,,0.09,0.09,0.00,50,
v0.1,flagged_decrypt_core,,0.09,0.09,0.00,50,
v0.1,flagged_decrypt_extension,,0.09,0.09,0.00,50,
v0.1,flagged_decrypt_full,,0.18,0.18,0.01,50,
v0.1,decrypt,10,0.87,0.86,0.04,50,
v0.1,decrypt,100,8.64,8.65,0.21,50,
v0.1,decrypt,1000,91.35,91.18,2.87,50,
v0.1,detection_decrypt,,0.09,0.09,0.00,50,
v0.1,detection,10,0.93,0.93,0.02,50,
v0.1,detection,100,9.49,9.63,0.29,50,
v0.1,detection,1000,94.36,94.07,1.90,50,
