version,tree,operation,size,mean_ms,median_ms,std_dev_ms,samples,constraints
v0.1,quad,insert,100,0.54,0.54,0.01,10,
v0.1,quad,insert,1000,0.51,0.51,0.01,10,
v0.1,quad,insert,10000,0.56,0.55,0.02,10,
v0.1,quad,auth_path,100,0.00,0.00,0.00,10,
v0.1,quad,auth_path,1000,0.00,0.00,0.00,10,
v0.1,quad,auth_path,10000,0.00,0.00,0.00,10,
v0.1,quad,verify,100,0.56,0.56,0.02,10,
v0.1,quad,verify,1000,0.56,0.55,0.02,10,
v0.1,quad,verify,10000,0.54,0.54,0.01,10,
v0.1,quad,root,100,0.00,0.00,0.00,10,
v0.1,quad,root,1000,0.00,0.00,0.00,10,
v0.1,quad,root,10000,0.00,0.00,0.00,10,
v0.1,imt,insert,50,1.39,1.40,0.02,10,
v0.1,imt,insert,500,1.31,1.30,0.02,10,
v0.1,imt,insert,5000,1.92,1.92,0.03,10,
v0.1,imt,membership,50,0.00,0.00,0.00,10,
v0.1,imt,membership,500,0.00,0.00,0.00,10,
v0.1,imt,membership,5000,0.00,0.00,0.00,10,
v0.1,imt,non_membership,50,0.00,0.00,0.00,10,
v0.1,imt,non_membership,500,0.01,0.01,0.00,10,
v0.1,imt,non_membership,5000,0.11,0.11,0.00,10,
v0.1,imt,root,50,0.00,0.00,0.00,10,
v0.1,imt,root,500,0.00,0.00,0.00,10,
v0.1,imt,root,5000,0.00,0.00,0.00,10,
