version,block_size,metric,mean_ms,median_ms,std_dev_ms,samples,constraints
v0.1,1,block_total_ms,9.35,9.35,0.00,1,
v0.1,1,per_tx_ms,9.35,9.35,0.00,1,
v0.1,1,tps,106.94,106.94,0.00,1,
v0 (estimated),1,tps,106.94,106.94,0.00,1,
v0.1,5,block_total_ms,28.53,28.53,0.00,1,
v0.1,5,per_tx_ms,5.71,5.71,0.00,1,
v0.1,5,tps,175.26,175.26,0.00,1,
v0 (estimated),5,tps,175.26,175.26,0.00,1,
v0.1,10,block_total_ms,55.32,55.32,0.00,1,
v0.1,10,per_tx_ms,5.53,5.53,0.00,1,
v0.1,10,tps,180.75,180.75,0.00,1,
v0 (estimated),10,tps,180.75,180.75,0.00,1,
v0.1,25,block_total_ms,129.59,129.59,0.00,1,
v0.1,25,per_tx_ms,5.18,5.18,0.00,1,
v0.1,25,tps,192.92,192.92,0.00,1,
v0 (estimated),25,tps,192.92,192.92,0.00,1,
